#Position (bp)	mapping quality
1.624888664E9	12.806330340314396
1.632681895E9	37.932766865514445
1.640475126E9	59.41663565565214
1.648268357E9	59.37230698750162
1.656061588E9	59.280950339054044
1.663854819E9	59.32192654405683
1.67164805E9	59.41829539094347
1.679441281E9	59.17359532374076
1.687234512E9	59.40223857449967
1.695027743E9	59.29026436150768
1.70215282E9	57.4480504867245
1.7060494355E9	58.97042403175669
1.710614205E9	56.250491906361724
1.718407436E9	55.70453470163647
1.726200667E9	59.394204848192636
1.733993898E9	59.44388053720436
1.741787129E9	59.41039080962187
1.74958036E9	42.1811196828013
1.757373591E9	59.43770107424852
1.765166822E9	59.27444575180036
1.772960053E9	59.402812729119475
1.780753284E9	59.44206167522687
1.788546515E9	53.448970927867684
1.796339746E9	59.4142942879326
1.804132977E9	59.405564794226294
1.811926208E9	59.44562769819899
1.819719439E9	59.488855076046235
1.82751267E9	59.43119889192485
1.835305901E9	59.38655974253254
1.843099132E9	59.43852713300255
1.84931818E9	59.034021591365224
1.8532147955E9	55.3647172357803
1.858685594E9	59.18817200444679
1.866478825E9	59.37207622475713
1.874272056E9	59.34845548381848
1.882065287E9	59.461536981887434
1.889858518E9	59.476367080627064
1.897651749E9	59.29694298835553
1.90544498E9	34.237630457942146
1.913238211E9	59.223229134871175
1.921031442E9	59.21161050095498
1.928824673E9	59.40723600010516
1.936617904E9	59.41993258068529
1.944411135E9	57.957668124072164
1.952204366E9	59.435211447840864
1.959997597E9	59.41613491237388
1.967790828E9	59.4060487163116
1.975584059E9	59.392417473626224
1.983124528E9	59.397677842630536
1.9870211435E9	58.225246799967344
1.991170521E9	59.235507121363796
1.998963752E9	59.38168610864096
2.006756983E9	59.435997131200494
2.014550214E9	59.2573530288742
2.022343445E9	59.025451430291675
2.030136676E9	34.82852306996589
2.037929907E9	55.09965592559652
2.045723138E9	59.48505574597031
2.053516369E9	59.368618070171834
2.0613096E9	59.387677164175074
2.069102831E9	59.355317224316984
2.076896062E9	58.99579317640018
2.084689293E9	59.40740919479821
2.092482524E9	59.40790930386911
2.100275755E9	59.43836161536236
2.108068986E9	59.413106593649985
2.115862217E9	59.309803771708395
2.120642674E9	58.035268873203485
2.1245392895E9	59.2166444693622
2.131448679E9	59.3120724510315
2.13924191E9	59.47358225261671
2.147035141E9	59.45945974220725
2.154828372E9	35.641773258280224
2.162621603E9	59.327025427538764
2.170414834E9	59.384329183288706
2.178208065E9	59.3715890113935
2.186001296E9	59.36004677825808
2.193794527E9	59.420392007345555
2.201587758E9	59.46844195693763
2.209380989E9	59.497714121709386
2.21717422E9	59.38588822460429
2.224967451E9	59.39508497388839
2.232760682E9	59.29871537788349
2.240553913E9	59.22952861333397
2.248347144E9	59.11600787694644
2.2535474115E9	58.776279651596724
2.257444027E9	16.968391900785296
2.263933606E9	14.750033509126334
2.271726837E9	38.365331386234175
2.279520068E9	59.34730739584464
2.287313299E9	59.42736406938284
2.29510653E9	59.42861081694711
2.302899761E9	59.26976912362979
2.310692992E9	59.247942038224785
2.318486223E9	59.454241201769584
2.326279454E9	59.461641127690434
2.334072685E9	59.44920931620556
2.341865916E9	59.4444283147392
2.349659147E9	59.431937907960325
2.357452378E9	59.43637957815921
2.3648833715E9	59.06279492140368
2.368779987E9	8.425293474262386
2.37303884E9	30.694407831068546
2.380832071E9	29.010605350338967
2.388625302E9	59.412781874195204
2.396418533E9	59.39578406948045
2.404211764E9	59.40434638551574
2.412004995E9	59.36081879220277
2.419798226E9	59.44307661056981
