#Position (bp)	mapping quality
6.863514275E8	57.311555256131896
6.902335715E8	56.51952983200561
6.949037765E8	56.369108186613914
7.026680645E8	57.620413721692366
7.104323525E8	58.08411523382528
7.181966405E8	58.21959281811902
7.259609285E8	58.2878193917245
7.337252165E8	58.241352851985596
7.414895045E8	32.57579235408231
7.492537925E8	58.17895743582139
7.570180805E8	58.18392212210254
7.647823685E8	58.1706783602105
7.725466565E8	58.16514683401841
7.803109445E8	58.22984308679226
7.880752325E8	58.21621032001251
7.958395205E8	58.22556007946491
8.036038085E8	58.1891670280221
8.113680965E8	58.13466086880639
8.191323845E8	58.01015057331404
8.268966725E8	58.165162214332895
8.346609605E8	58.237083278721144
8.424252485E8	58.24132422593539
8.501895365E8	58.18904638816353
8.579538245E8	58.16340772335796
8.657181125E8	58.23883144060882
8.734824005E8	58.126446508493906
8.78512305E8	52.89690607280318
8.82394449E8	57.85955544803351
8.890109765E8	58.15172150686488
8.967752645E8	57.45209257831933
9.045395525E8	58.204695076897885
9.123038405E8	58.09230527451212
9.200681285E8	58.24341961384984
9.278324165E8	43.574030136267496
9.355967045E8	58.24320139525423
9.433609925E8	58.22827192974781
9.511252805E8	49.447543545349895
9.588895685E8	58.24807304601748
9.666538565E8	58.242649726136804
9.744181445E8	58.194569184026946
9.821824325E8	58.08603728164237
9.899467205E8	58.17820212653331
9.977110085E8	58.191394684032346
1.0054752965E9	58.22869055085286
1.0132395845E9	58.19307471569938
1.0210038725E9	58.29017986508045
1.0287681605E9	58.16850057635271
1.0365324485E9	58.178607626066345
1.0442967365E9	58.1896830629908
1.0520610245E9	57.67160898429791
1.0585707465E9	56.236319425908746
1.0624528905E9	57.76430854739115
1.0675896005E9	58.16459576423685
1.0753538885E9	58.23866834673634
1.0831181765E9	58.20233752818683
1.0908824645E9	56.788857659560854
1.0986467525E9	58.22420602331037
1.1064110405E9	58.23526754245952
1.1141753285E9	58.22950307167456
1.1219396165E9	42.66520172441336
1.1297039045E9	58.20773566670399
1.1374681925E9	58.22871139828588
1.1452324805E9	58.185889437593495
1.1529967685E9	58.24149145135335
1.1607610565E9	58.22809617911135
1.1685253445E9	58.28068328364609
1.1762896325E9	58.19156864143004
1.1840539205E9	58.289242467250666
1.1918182085E9	58.166683637844756
1.1995824965E9	58.27154005604872
1.2073467845E9	58.30262848303323
1.2151110725E9	58.17052641392152
1.2228753605E9	57.74111105585484
1.229380904E9	57.45154018653219
1.233263048E9	57.58177659238332
1.2384039365E9	57.483892556903704
1.2461682245E9	58.25843973923598
1.2539325125E9	58.214272464660745
1.2616968005E9	58.09202667428266
1.2694610885E9	58.143135716113036
1.2772253765E9	58.22774376841384
1.2849896645E9	57.49120455601298
1.2927539525E9	26.787618692477498
1.3005182405E9	57.17591837245376
1.3082825285E9	53.84025545850641
1.3160468165E9	58.229113010986445
1.3238111045E9	58.2303743255887
1.3315753925E9	54.339121042913106
1.3393396805E9	58.23931468936585
1.3471039685E9	58.235674587872545
1.3548682565E9	58.210379782355304
1.3626325445E9	58.15585273622611
1.3703968325E9	58.23106879759585
1.3781611205E9	56.15231427203181
1.3859254085E9	57.90168679150531
1.3905789145E9	57.25254826254826
1.3944610585E9	56.43883214426573
1.4014539845E9	51.63371059479879
1.4092182725E9	58.21004404352907
1.4169825605E9	58.229670340492504
1.4247468485E9	58.22087703376012
1.4325111365E9	49.26511738214212
1.4402754245E9	53.700582149592755
